game,game_comments,game_date,wrong,right
6901,"First game with Ken Jennings as guest host.
Opening graphics revised to de-emphasize Alex Trebek.","Show #8311 - Monday, January 11, 2021",1,2
6900,"Last game with Alex Trebek as host.
Originally slated to air 2020-12-25.
Episode aired with a short clip-montage tribute to Alex Trebek at the end.","Show #8310 - Friday, January 8, 2021",0,2
6899,Originally slated to air 2020-12-24.,"Show #8309 - Thursday, January 7, 2021",1,2
6898,Originally slated to air 2020-12-23.,"Show #8308 - Wednesday, January 6, 2021",3,0
6897,"Brayden Smith game 6.
Originally slated to air 2020-12-22.","Show #8307 - Tuesday, January 5, 2021",3,0
6896,"Brayden Smith game 5.
Originally slated to air 2020-12-21.  Preceded by two weeks of ""Around the World with Alex"" reruns: #4624, #4972, #5299, #5327, #5609, #5796, #5808, #6243, #6246, #7461.","Show #8306 - Monday, January 4, 2021",3,0
6895,Brayden Smith game 4.,"Show #8305 - Friday, December 18, 2020",2,1
6894,Brayden Smith game 3.,"Show #8304 - Thursday, December 17, 2020",3,0
6893,Brayden Smith game 2.,"Show #8303 - Wednesday, December 16, 2020",1,2
6892,Brayden Smith game 1.,"Show #8302 - Tuesday, December 15, 2020",0,3
6891,,"Show #8301 - Monday, December 14, 2020",2,1
6890,,"Show #8300 - Friday, December 11, 2020",3,0
6889,,"Show #8299 - Thursday, December 10, 2020",3,0
6888,,"Show #8298 - Wednesday, December 9, 2020",0,3
6887,,"Show #8297 - Tuesday, December 8, 2020",1,2
6886,,"Show #8296 - Monday, December 7, 2020",3,0
6885,,"Show #8295 - Friday, December 4, 2020",2,1
6884,,"Show #8294 - Thursday, December 3, 2020",2,1
6883,,"Show #8293 - Wednesday, December 2, 2020",3,0
6882,Ryan Hemmel game 5.,"Show #8292 - Tuesday, December 1, 2020",1,2
6881,Ryan Hemmel game 4.,"Show #8291 - Monday, November 30, 2020",2,1
6880,Ryan Hemmel game 3.,"Show #8290 - Friday, November 27, 2020",2,1
6879,Ryan Hemmel game 2.,"Show #8289 - Thursday, November 26, 2020",0,3
6878,Ryan Hemmel game 1.,"Show #8288 - Wednesday, November 25, 2020",2,1
6877,,"Show #8287 - Tuesday, November 24, 2020",0,3
6876,,"Show #8286 - Monday, November 23, 2020",1,2
6872,Andy Wood game 5.,"Show #8285 - Friday, November 20, 2020",1,2
6871,Andy Wood game 4.,"Show #8284 - Thursday, November 19, 2020",0,3
6870,Andy Wood game 3.,"Show #8283 - Wednesday, November 18, 2020",1,2
6869,Andy Wood game 2.,"Show #8282 - Tuesday, November 17, 2020",1,2
6868,Andy Wood game 1.,"Show #8281 - Monday, November 16, 2020",2,1
6866,,"Show #8280 - Friday, November 13, 2020",0,3
6865,,"Show #8279 - Thursday, November 12, 2020",0,3
6864,,"Show #8278 - Wednesday, November 11, 2020",2,1
6863,,"Show #8277 - Tuesday, November 10, 2020",2,1
6862,"Episode begins with a tribute to Alex Trebek by executive producer Mike Richards, and ends with a title card reading, ""Dedicated to Alex Trebek / Forever in our Hearts / Always our Inspiration"".  The title card is displayed at the end of the remainder of the games in Season 37.","Show #8276 - Monday, November 9, 2020",1,2
6861,Last show aired before Alex Trebek's death at age 80 from pancreatic cancer.,"Show #8275 - Friday, November 6, 2020",3,0
6860,,"Show #8274 - Thursday, November 5, 2020",1,2
6859,,"Show #8273 - Wednesday, November 4, 2020",2,1
6858,,"Show #8272 - Tuesday, November 3, 2020",1,2
6857,,"Show #8271 - Monday, November 2, 2020",0,3
6856,,"Show #8270 - Friday, October 30, 2020",1,2
6855,,"Show #8269 - Thursday, October 29, 2020",0,3
6854,,"Show #8268 - Wednesday, October 28, 2020",0,2
6853,,"Show #8267 - Tuesday, October 27, 2020",3,0
6852,,"Show #8266 - Monday, October 26, 2020",1,2
6851,,"Show #8265 - Friday, October 23, 2020",1,2
6850,,"Show #8264 - Thursday, October 22, 2020",0,3
6849,,"Show #8263 - Wednesday, October 21, 2020",2,1
6848,,"Show #8262 - Tuesday, October 20, 2020",2,0
6847,,"Show #8261 - Monday, October 19, 2020",0,3
6846,,"Show #8260 - Friday, October 16, 2020",2,0
6845,Kevin Walsh game 6.,"Show #8259 - Thursday, October 15, 2020",3,0
6844,Kevin Walsh game 5.,"Show #8258 - Wednesday, October 14, 2020",1,2
6843,"Kevin Walsh game 4.
Single-player Final Jeopardy!","Show #8257 - Tuesday, October 13, 2020",0,1
6842,Kevin Walsh game 3.,"Show #8256 - Monday, October 12, 2020",3,0
6841,Kevin Walsh game 2.,"Show #8255 - Friday, October 9, 2020",2,1
6840,Kevin Walsh game 1.,"Show #8254 - Thursday, October 8, 2020",1,2
6839,,"Show #8253 - Wednesday, October 7, 2020",3,0
6838,,"Show #8252 - Tuesday, October 6, 2020",1,2
6837,,"Show #8251 - Monday, October 5, 2020",2,1
6835,,"Show #8250 - Friday, October 2, 2020",0,3
6834,,"Show #8249 - Thursday, October 1, 2020",2,1
6833,,"Show #8248 - Wednesday, September 30, 2020",2,1
6832,,"Show #8247 - Tuesday, September 29, 2020",3,0
6831,,"Show #8246 - Monday, September 28, 2020",3,0
6830,,"Show #8245 - Friday, September 25, 2020",3,0
6829,,"Show #8244 - Thursday, September 24, 2020",2,1
6828,,"Show #8243 - Wednesday, September 23, 2020",0,3
6827,,"Show #8242 - Tuesday, September 22, 2020",3,0
6826,,"Show #8241 - Monday, September 21, 2020",1,2
6825,,"Show #8240 - Friday, September 18, 2020",2,1
6824,,"Show #8239 - Thursday, September 17, 2020",1,2
6823,,"Show #8238 - Wednesday, September 16, 2020",1,1
6822,,"Show #8237 - Tuesday, September 15, 2020",3,0
6821,"First game of Season 37.
New opening graphics.
Third game in which reigning champion did not return.","Show #8236 - Monday, September 14, 2020",2,1
6699,"Zach Newkirk game 4.
Last game of Season 36.
Season ended early due to the COVID-19 pandemic.","Show #8235 - Friday, June 12, 2020",1,2
6697,Zach Newkirk game 3.,"Show #8234 - Thursday, June 11, 2020",3,0
6695,Zach Newkirk game 2.,"Show #8233 - Wednesday, June 10, 2020",1,2
6694,Zach Newkirk game 1.,"Show #8232 - Tuesday, June 9, 2020",1,2
6691,,"Show #8231 - Monday, June 8, 2020",1,2
6684,2020 Teachers Tournament final game 1.,"Show #8229 - Thursday, June 4, 2020",3,0
6682,2020 Teachers Tournament semifinal game 3.,"Show #8228 - Wednesday, June 3, 2020",0,3
6680,2020 Teachers Tournament semifinal game 2.,"Show #8227 - Tuesday, June 2, 2020",1,2
6678,2020 Teachers Tournament semifinal game 1.,"Show #8226 - Monday, June 1, 2020",1,2
6672,2020 Teachers Tournament quarterfinal game 5.,"Show #8225 - Friday, May 29, 2020",3,0
6670,2020 Teachers Tournament quarterfinal game 4.,"Show #8224 - Thursday, May 28, 2020",2,1
6667,2020 Teachers Tournament quarterfinal game 3.,"Show #8223 - Wednesday, May 27, 2020",0,3
6666,2020 Teachers Tournament quarterfinal game 2.,"Show #8222 - Tuesday, May 26, 2020",0,3
6664,2020 Teachers Tournament quarterfinal game 1.,"Show #8221 - Monday, May 25, 2020",1,1
6659,,"Show #8220 - Friday, May 22, 2020",2,1
6657,,"Show #8219 - Thursday, May 21, 2020",0,3
6655,,"Show #8218 - Wednesday, May 20, 2020",1,2
6653,,"Show #8217 - Tuesday, May 19, 2020",3,0
6651,This and the remainder of the regular-play games of Season 36 were recorded without an audience due to the COVID-19 pandemic.,"Show #8216 - Monday, May 18, 2020",1,2
6623,,"Show #8215 - Friday, May 1, 2020",2,1
6622,Sarah Jett Rayburn game 5.,"Show #8214 - Thursday, April 30, 2020",2,1
6620,Sarah Jett Rayburn game 4.,"Show #8213 - Wednesday, April 29, 2020",1,2
6618,Sarah Jett Rayburn game 3.,"Show #8212 - Tuesday, April 28, 2020",2,1
6616,Sarah Jett Rayburn game 2.,"Show #8211 - Monday, April 27, 2020",3,0
6614,Sarah Jett Rayburn game 1.,"Show #8210 - Friday, April 24, 2020",1,2
6612,,"Show #8209 - Thursday, April 23, 2020",1,2
6610,,"Show #8208 - Wednesday, April 22, 2020",1,2
6608,,"Show #8207 - Tuesday, April 21, 2020",1,2
6607,,"Show #8206 - Monday, April 20, 2020",2,1
6604,2020 College Championship final game 1.,"Show #8204 - Thursday, April 16, 2020",3,0
6603,2020 College Championship semifinal game 3.,"Show #8203 - Wednesday, April 15, 2020",3,0
6602,2020 College Championship semifinal game 2.,"Show #8202 - Tuesday, April 14, 2020",1,2
6601,2020 College Championship semifinal game 1.,"Show #8201 - Monday, April 13, 2020",1,2
6600,2020 College Championship quarterfinal game 5.,"Show #8200 - Friday, April 10, 2020",2,1
6599,2020 College Championship quarterfinal game 4.,"Show #8199 - Thursday, April 9, 2020",0,3
6598,2020 College Championship quarterfinal game 3.,"Show #8198 - Wednesday, April 8, 2020",2,1
6597,2020 College Championship quarterfinal game 2.,"Show #8197 - Tuesday, April 7, 2020",0,3
6596,2020 College Championship quarterfinal game 1.,"Show #8196 - Monday, April 6, 2020",2,1
6593,,"Show #8195 - Friday, April 3, 2020",2,1
6592,,"Show #8194 - Thursday, April 2, 2020",2,1
6591,,"Show #8193 - Wednesday, April 1, 2020",3,0
6590,,"Show #8192 - Tuesday, March 31, 2020",0,2
6589,,"Show #8191 - Monday, March 30, 2020",2,1
6588,,"Show #8190 - Friday, March 27, 2020",3,0
6587,,"Show #8189 - Thursday, March 26, 2020",3,0
6586,,"Show #8188 - Wednesday, March 25, 2020",1,2
6585,,"Show #8187 - Tuesday, March 24, 2020",2,1
6584,,"Show #8186 - Monday, March 23, 2020",1,2
6583,,"Show #8185 - Friday, March 20, 2020",3,0
6582,,"Show #8184 - Thursday, March 19, 2020",1,1
6581,,"Show #8183 - Wednesday, March 18, 2020",1,2
6580,,"Show #8182 - Tuesday, March 17, 2020",2,1
6579,,"Show #8181 - Monday, March 16, 2020",1,2
6578,,"Show #8180 - Friday, March 13, 2020",1,2
6577,,"Show #8179 - Thursday, March 12, 2020",1,1
6576,Paul Trifiletti game 6.,"Show #8178 - Wednesday, March 11, 2020",1,2
6575,Paul Trifiletti game 5.,"Show #8177 - Tuesday, March 10, 2020",1,2
6574,Paul Trifiletti game 4.,"Show #8176 - Monday, March 9, 2020",1,2
6571,Paul Trifiletti game 3.,"Show #8175 - Friday, March 6, 2020",1,2
6570,Paul Trifiletti game 2.,"Show #8174 - Thursday, March 5, 2020",3,0
6569,Paul Trifiletti game 1.,"Show #8173 - Wednesday, March 4, 2020",1,2
6568,,"Show #8172 - Tuesday, March 3, 2020",2,1
6567,,"Show #8171 - Monday, March 2, 2020",3,0
6565,,"Show #8170 - Friday, February 28, 2020",2,1
6564,MacKenzie Jones game 9.,"Show #8169 - Thursday, February 27, 2020",1,2
6562,MacKenzie Jones game 8.,"Show #8168 - Wednesday, February 26, 2020",2,1
6561,MacKenzie Jones game 7.,"Show #8167 - Tuesday, February 25, 2020",0,3
6557,MacKenzie Jones game 6.,"Show #8166 - Monday, February 24, 2020",1,2
6556,MacKenzie Jones game 5.,"Show #8165 - Friday, February 21, 2020",1,1
6555,MacKenzie Jones game 4.,"Show #8164 - Thursday, February 20, 2020",1,2
6554,MacKenzie Jones game 3.,"Show #8163 - Wednesday, February 19, 2020",1,2
6553,MacKenzie Jones game 2.,"Show #8162 - Tuesday, February 18, 2020",3,0
6552,MacKenzie Jones game 1.,"Show #8161 - Monday, February 17, 2020",2,1
6551,,"Show #8160 - Friday, February 14, 2020",2,1
6550,,"Show #8159 - Thursday, February 13, 2020",1,2
6549,,"Show #8158 - Wednesday, February 12, 2020",2,1
6548,,"Show #8157 - Tuesday, February 11, 2020",0,3
6547,,"Show #8156 - Monday, February 10, 2020",3,0
6545,,"Show #8155 - Friday, February 7, 2020",2,1
6544,,"Show #8154 - Thursday, February 6, 2020",1,2
6543,,"Show #8153 - Wednesday, February 5, 2020",1,2
6542,,"Show #8152 - Tuesday, February 4, 2020",2,1
6541,,"Show #8151 - Monday, February 3, 2020",2,1
6540,,"Show #8150 - Friday, January 31, 2020",1,1
6539,,"Show #8149 - Thursday, January 30, 2020",1,2
6538,,"Show #8148 - Wednesday, January 29, 2020",3,0
6537,,"Show #8147 - Tuesday, January 28, 2020",1,2
6536,,"Show #8146 - Monday, January 27, 2020",2,1
6535,,"Show #8145 - Friday, January 24, 2020",3,0
6534,,"Show #8144 - Thursday, January 23, 2020",0,3
6533,,"Show #8143 - Wednesday, January 22, 2020",1,2
6532,,"Show #8142 - Tuesday, January 21, 2020",1,2
6531,,"Show #8141 - Monday, January 20, 2020",2,1
6530,Veronica Vichit-Vadakan game 5.,"Show #8140 - Friday, January 17, 2020",2,1
6529,Veronica Vichit-Vadakan game 4.,"Show #8139 - Thursday, January 16, 2020",1,1
6528,Veronica Vichit-Vadakan game 3.,"Show #8138 - Wednesday, January 15, 2020",1,2
6525,Veronica Vichit-Vadakan game 2.,"Show #8137 - Tuesday, January 14, 2020",1,2
6524,Veronica Vichit-Vadakan game 1.,"Show #8136 - Monday, January 13, 2020",1,2
6523,,"Show #8135 - Friday, January 10, 2020",1,2
6520,,"Show #8134 - Thursday, January 9, 2020",1,2
6517,,"Show #8133 - Wednesday, January 8, 2020",2,1
6514,Karen Farrell game 9.,"Show #8132 - Tuesday, January 7, 2020",2,1
6513,Karen Farrell game 8.,"Show #8131 - Monday, January 6, 2020",2,1
6512,Karen Farrell game 7.,"Show #8130 - Friday, January 3, 2020",1,2
6511,Karen Farrell game 6.,"Show #8129 - Thursday, January 2, 2020",2,1
6510,"Karen Farrell game 5.
First show of the 2020s.","Show #8128 - Wednesday, January 1, 2020",1,2
6509,"Karen Farrell game 4.
Last show of the 2010s.","Show #8127 - Tuesday, December 31, 2019",1,2
6508,Karen Farrell game 3.,"Show #8126 - Monday, December 30, 2019",2,1
6507,Karen Farrell game 2.,"Show #8125 - Friday, December 27, 2019",1,2
6506,Karen Farrell game 1.,"Show #8124 - Thursday, December 26, 2019",2,1
6505,,"Show #8123 - Wednesday, December 25, 2019",1,2
6504,,"Show #8122 - Tuesday, December 24, 2019",3,0
6503,,"Show #8121 - Monday, December 23, 2019",2,1
6502,,"Show #8120 - Friday, December 20, 2019",0,3
6501,,"Show #8119 - Thursday, December 19, 2019",2,1
6500,,"Show #8118 - Wednesday, December 18, 2019",2,1
6499,,"Show #8117 - Tuesday, December 17, 2019",1,2
6498,Jennifer Quail game 9.,"Show #8116 - Monday, December 16, 2019",1,2
6497,Jennifer Quail game 8.,"Show #8115 - Friday, December 13, 2019",0,3
6496,Jennifer Quail game 7.,"Show #8114 - Thursday, December 12, 2019",2,1
6495,Jennifer Quail game 6.,"Show #8113 - Wednesday, December 11, 2019",2,1
6493,Jennifer Quail game 5.,"Show #8112 - Tuesday, December 10, 2019",1,2
6491,Jennifer Quail game 4.,"Show #8111 - Monday, December 9, 2019",2,1
6486,Jennifer Quail game 3.,"Show #8110 - Friday, December 6, 2019",2,1
6485,Jennifer Quail game 2.,"Show #8109 - Thursday, December 5, 2019",1,2
6484,Jennifer Quail game 1.,"Show #8108 - Wednesday, December 4, 2019",2,1
6483,,"Show #8107 - Tuesday, December 3, 2019",3,0
6482,,"Show #8106 - Monday, December 2, 2019",2,1
6481,,"Show #8105 - Friday, November 29, 2019",3,0
6480,,"Show #8104 - Thursday, November 28, 2019",2,1
6479,,"Show #8103 - Wednesday, November 27, 2019",3,0
6478,,"Show #8102 - Tuesday, November 26, 2019",3,0
6477,,"Show #8101 - Monday, November 25, 2019",1,2
6473,,"Show #8100 - Friday, November 22, 2019",1,2
6472,,"Show #8099 - Thursday, November 21, 2019",3,0
6471,,"Show #8098 - Wednesday, November 20, 2019",1,2
6470,,"Show #8097 - Tuesday, November 19, 2019",1,2
6469,,"Show #8096 - Monday, November 18, 2019",2,1
6467,2019 Tournament of Champions final game 1.,"Show #8094 - Thursday, November 14, 2019",1,2
6466,2019 Tournament of Champions semifinal game 3.,"Show #8093 - Wednesday, November 13, 2019",2,1
6465,2019 Tournament of Champions semifinal game 2.,"Show #8092 - Tuesday, November 12, 2019",3,0
6464,2019 Tournament of Champions semifinal game 1.,"Show #8091 - Monday, November 11, 2019",1,2
6463,2019 Tournament of Champions quarterfinal game 5.,"Show #8090 - Friday, November 8, 2019",0,3
6462,2019 Tournament of Champions quarterfinal game 4.,"Show #8089 - Thursday, November 7, 2019",2,1
6461,2019 Tournament of Champions quarterfinal game 3.,"Show #8088 - Wednesday, November 6, 2019",1,2
6460,2019 Tournament of Champions quarterfinal game 2.,"Show #8087 - Tuesday, November 5, 2019",0,3
6459,2019 Tournament of Champions quarterfinal game 1.,"Show #8086 - Monday, November 4, 2019",1,2
6456,,"Show #8085 - Friday, November 1, 2019",3,0
6455,Steve Moulds game 4.,"Show #8084 - Thursday, October 31, 2019",1,2
6454,Steve Moulds game 3.,"Show #8083 - Wednesday, October 30, 2019",1,2
6453,Steve Moulds game 2.,"Show #8082 - Tuesday, October 29, 2019",1,2
6452,Steve Moulds game 1.,"Show #8081 - Monday, October 28, 2019",0,3
6451,,"Show #8080 - Friday, October 25, 2019",0,3
6450,,"Show #8079 - Thursday, October 24, 2019",3,0
6449,,"Show #8078 - Wednesday, October 23, 2019",3,0
6448,,"Show #8077 - Tuesday, October 22, 2019",2,1
6447,,"Show #8076 - Monday, October 21, 2019",3,0
6446,,"Show #8075 - Friday, October 18, 2019",3,0
6445,,"Show #8074 - Thursday, October 17, 2019",0,3
6444,,"Show #8073 - Wednesday, October 16, 2019",1,2
6443,,"Show #8072 - Tuesday, October 15, 2019",2,1
6442,,"Show #8071 - Monday, October 14, 2019",1,2
6441,,"Show #8070 - Friday, October 11, 2019",3,0
6440,,"Show #8069 - Thursday, October 10, 2019",2,1
6439,,"Show #8068 - Wednesday, October 9, 2019",1,2
6438,,"Show #8067 - Tuesday, October 8, 2019",1,1
6437,,"Show #8066 - Monday, October 7, 2019",2,1
6434,8000th episode.,"Show #8065 - Friday, October 4, 2019",1,2
6433,,"Show #8064 - Thursday, October 3, 2019",1,2
6432,,"Show #8063 - Wednesday, October 2, 2019",1,2
6431,,"Show #8062 - Tuesday, October 1, 2019",2,1
6429,,"Show #8061 - Monday, September 30, 2019",1,2
6426,,"Show #8060 - Friday, September 27, 2019",2,1
6425,Jason Zuffranieri game 20.,"Show #8059 - Thursday, September 26, 2019",2,1
6424,Jason Zuffranieri game 19.,"Show #8058 - Wednesday, September 25, 2019",3,0
6423,Jason Zuffranieri game 18.,"Show #8057 - Tuesday, September 24, 2019",1,2
6422,Jason Zuffranieri game 17.,"Show #8056 - Monday, September 23, 2019",2,1
6420,Jason Zuffranieri game 16.,"Show #8055 - Friday, September 20, 2019",3,0
6419,Jason Zuffranieri game 15.,"Show #8054 - Thursday, September 19, 2019",2,1
6418,Jason Zuffranieri game 14.,"Show #8053 - Wednesday, September 18, 2019",1,2
6417,Jason Zuffranieri game 13.,"Show #8052 - Tuesday, September 17, 2019",3,0
6416,Jason Zuffranieri game 12.,"Show #8051 - Monday, September 16, 2019",2,1
6414,Jason Zuffranieri game 11.,"Show #8050 - Friday, September 13, 2019",1,2
6413,Jason Zuffranieri game 10.,"Show #8049 - Thursday, September 12, 2019",1,2
6412,Jason Zuffranieri game 9.,"Show #8048 - Wednesday, September 11, 2019",1,2
6411,Jason Zuffranieri game 8.,"Show #8047 - Tuesday, September 10, 2019",1,2
6410,"Jason Zuffranieri game 7.
First game of Season 36.
New opening graphics.","Show #8046 - Monday, September 9, 2019",3,0
6389,"Jason Zuffranieri game 6.
Last game of Season 35.","Show #8045 - Friday, July 26, 2019",3,0
6388,Jason Zuffranieri game 5.,"Show #8044 - Thursday, July 25, 2019",3,0
6386,Jason Zuffranieri game 4.,"Show #8043 - Wednesday, July 24, 2019",2,1
6384,Jason Zuffranieri game 3.,"Show #8042 - Tuesday, July 23, 2019",0,3
6381,Jason Zuffranieri game 2.,"Show #8041 - Monday, July 22, 2019",3,0
6379,Jason Zuffranieri game 1.,"Show #8040 - Friday, July 19, 2019",1,1
6378,Second regular-play game to end in a Tiebreaker Round.,"Show #8039 - Thursday, July 18, 2019",0,4
6376,Sam Kavanaugh game 6.,"Show #8038 - Wednesday, July 17, 2019",2,1
6374,Sam Kavanaugh game 5.,"Show #8037 - Tuesday, July 16, 2019",1,2
6371,Sam Kavanaugh game 4.,"Show #8036 - Monday, July 15, 2019",1,2
6369,Sam Kavanaugh game 3.,"Show #8035 - Friday, July 12, 2019",1,2
6368,Sam Kavanaugh game 2.,"Show #8034 - Thursday, July 11, 2019",2,1
6366,Ryan Bilger game 5. Sam Kavanaugh game 1.,"Show #8033 - Wednesday, July 10, 2019",0,3
6364,Ryan Bilger game 4.,"Show #8032 - Tuesday, July 9, 2019",3,0
6354,Ryan Bilger game 3.,"Show #8031 - Monday, July 8, 2019",1,2
6352,Ryan Bilger game 2.,"Show #8030 - Friday, July 5, 2019",0,3
6351,Ryan Bilger game 1.,"Show #8029 - Thursday, July 4, 2019",0,3
6350,,"Show #8028 - Wednesday, July 3, 2019",3,0
6349,,"Show #8027 - Tuesday, July 2, 2019",2,1
6347,,"Show #8026 - Monday, July 1, 2019",3,0
6342,2019 Teen Tournament final game 1.,"Show #8024 - Thursday, June 27, 2019",1,2
6339,2019 Teen Tournament semifinal game 3.,"Show #8023 - Wednesday, June 26, 2019",0,4
6338,2019 Teen Tournament semifinal game 2.,"Show #8022 - Tuesday, June 25, 2019",3,0
6335,2019 Teen Tournament semifinal game 1.,"Show #8021 - Monday, June 24, 2019",1,1
6333,2019 Teen Tournament quarterfinal game 5.,"Show #8020 - Friday, June 21, 2019",0,3
6332,2019 Teen Tournament quarterfinal game 4.,"Show #8019 - Thursday, June 20, 2019",1,2
6330,2019 Teen Tournament quarterfinal game 3.,"Show #8018 - Wednesday, June 19, 2019",1,2
6328,2019 Teen Tournament quarterfinal game 2.,"Show #8017 - Tuesday, June 18, 2019",1,2
6326,2019 Teen Tournament quarterfinal game 1.,"Show #8016 - Monday, June 17, 2019",0,3
6324,,"Show #8015 - Friday, June 14, 2019",2,1
6323,,"Show #8014 - Thursday, June 13, 2019",1,2
6320,,"Show #8013 - Wednesday, June 12, 2019",2,1
6318,,"Show #8012 - Tuesday, June 11, 2019",0,3
6316,,"Show #8011 - Monday, June 10, 2019",1,2
6313,,"Show #8010 - Friday, June 7, 2019",2,1
6311,Emma Boettcher game 4.,"Show #8009 - Thursday, June 6, 2019",1,2
6309,Emma Boettcher game 3.,"Show #8008 - Wednesday, June 5, 2019",1,1
6307,Emma Boettcher game 2.,"Show #8007 - Tuesday, June 4, 2019",2,1
6304,"James Holzhauer game 33. 
Emma Boettcher game 1.
Emma Boettcher ends James's streak before he can break Ken Jennings's cash winnings total record.","Show #8006 - Monday, June 3, 2019",0,3
6303,James Holzhauer game 32.,"Show #8005 - Friday, May 31, 2019",1,2
6302,James Holzhauer game 31.,"Show #8004 - Thursday, May 30, 2019",2,1
6300,James Holzhauer game 30.,"Show #8003 - Wednesday, May 29, 2019",1,2
6297,James Holzhauer game 29.,"Show #8002 - Tuesday, May 28, 2019",1,2
6295,James Holzhauer game 28.,"Show #8001 - Monday, May 27, 2019",0,3
6293,James Holzhauer game 27. James breaks the $2 million mark.,"Show #8000 - Friday, May 24, 2019",1,1
6292,James Holzhauer game 26.,"Show #7999 - Thursday, May 23, 2019",1,2
6291,James Holzhauer game 25.,"Show #7998 - Wednesday, May 22, 2019",0,2
6290,James Holzhauer game 24.,"Show #7997 - Tuesday, May 21, 2019",0,3
6289,James Holzhauer game 23.,"Show #7996 - Monday, May 20, 2019",1,2
6287,2019 Teachers Tournament final game 1.,"Show #7994 - Thursday, May 16, 2019",1,2
6286,2019 Teachers Tournament semifinal game 3.,"Show #7993 - Wednesday, May 15, 2019",2,1
6285,"2019 Teachers Tournament semifinal game 2.
Category names in the Jeopardy! Round read by Amazon Alexa.","Show #7992 - Tuesday, May 14, 2019",1,2
6284,2019 Teachers Tournament semifinal game 1.,"Show #7991 - Monday, May 13, 2019",3,0
6283,2019 Teachers Tournament quarterfinal game 5.,"Show #7990 - Friday, May 10, 2019",1,2
6282,2019 Teachers Tournament quarterfinal game 4.,"Show #7989 - Thursday, May 9, 2019",2,1
6281,2019 Teachers Tournament quarterfinal game 3.,"Show #7988 - Wednesday, May 8, 2019",3,0
6280,2019 Teachers Tournament quarterfinal game 2.,"Show #7987 - Tuesday, May 7, 2019",2,1
6279,"2019 Teachers Tournament quarterfinal game 1.
Category names in the Jeopardy! Round read by Amazon Alexa.","Show #7986 - Monday, May 6, 2019",0,3
6278,James Holzhauer game 22.,"Show #7985 - Friday, May 3, 2019",2,1
6277,James Holzhauer game 21.,"Show #7984 - Thursday, May 2, 2019",1,2
6276,James Holzhauer game 20.,"Show #7983 - Wednesday, May 1, 2019",0,3
6275,James Holzhauer game 19.,"Show #7982 - Tuesday, April 30, 2019",2,1
6274,James Holzhauer game 18.,"Show #7981 - Monday, April 29, 2019",1,2
6273,James Holzhauer game 17.,"Show #7980 - Friday, April 26, 2019",2,1
6272,James Holzhauer game 16.,"Show #7979 - Thursday, April 25, 2019",2,1
6271,James Holzhauer game 15.,"Show #7978 - Wednesday, April 24, 2019",0,3
6270,"James Holzhauer game 14.
James breaks the $1 million mark.","Show #7977 - Tuesday, April 23, 2019",0,3
6269,James Holzhauer game 13.,"Show #7976 - Monday, April 22, 2019",1,2
6268,James Holzhauer game 12.,"Show #7975 - Friday, April 19, 2019",2,1
6267,James Holzhauer game 11.,"Show #7974 - Thursday, April 18, 2019",2,1
6266,"James Holzhauer game 10.
James sets a new single-day cash winnings record of $131,127.","Show #7973 - Wednesday, April 17, 2019",1,2
6265,James Holzhauer game 9.,"Show #7972 - Tuesday, April 16, 2019",1,1
6263,James Holzhauer game 8.,"Show #7971 - Monday, April 15, 2019",1,2
6262,James Holzhauer game 7.,"Show #7970 - Friday, April 12, 2019",1,2
6261,James Holzhauer game 6.,"Show #7969 - Thursday, April 11, 2019",2,1
6260,"James Holzhauer game 5.
James breaks Frank Spangenberg’s record for winnings accumulated over the first five games, as adjusted for doubled dollar values to $205,194.","Show #7968 - Wednesday, April 10, 2019",0,2
6259,"James Holzhauer game 4.
James sets a new single-day cash winnings record of $110,914.","Show #7967 - Tuesday, April 9, 2019",0,3
6258,James Holzhauer game 3.,"Show #7966 - Monday, April 8, 2019",1,2
6257,James Holzhauer game 2.,"Show #7965 - Friday, April 5, 2019",2,1
6256,James Holzhauer game 1.,"Show #7964 - Thursday, April 4, 2019",0,3
6255,Steven Grade game 6.,"Show #7963 - Wednesday, April 3, 2019",1,2
6254,Steven Grade game 5.,"Show #7962 - Tuesday, April 2, 2019",2,1
6253,Steven Grade game 4.,"Show #7961 - Monday, April 1, 2019",2,1
6252,Steven Grade game 3.,"Show #7960 - Friday, March 29, 2019",3,0
6251,Steven Grade game 2.,"Show #7959 - Thursday, March 28, 2019",1,2
6250,Steven Grade game 1.,"Show #7958 - Wednesday, March 27, 2019",1,2
6249,,"Show #7957 - Tuesday, March 26, 2019",3,0
6248,,"Show #7956 - Monday, March 25, 2019",1,2
6247,,"Show #7955 - Friday, March 22, 2019",3,0
6246,,"Show #7954 - Thursday, March 21, 2019",1,2
6245,Lindsey Shultz game 5.,"Show #7953 - Wednesday, March 20, 2019",2,1
6243,Lindsey Shultz game 4.,"Show #7952 - Tuesday, March 19, 2019",1,2
6242,Lindsey Shultz game 3.,"Show #7951 - Monday, March 18, 2019",1,1
6240,Lindsey Shultz game 2.,"Show #7950 - Friday, March 15, 2019",2,1
6239,Lindsey Shultz game 1.,"Show #7949 - Thursday, March 14, 2019",0,3
6238,,"Show #7948 - Wednesday, March 13, 2019",1,2
6237,,"Show #7947 - Tuesday, March 12, 2019",2,1
6236,,"Show #7946 - Monday, March 11, 2019",2,1
6235,,"Show #7945 - Friday, March 8, 2019",2,1
